round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1645,head,650,579,10,0.08907692307692308,0.006345618097111583,event_t0125_q005,4200,94200
1646,stem,464,1172,10,0.2525862068965517,0.008846382051706314,event_t0125_q005,4200,94200
1646,stage1.block1,4672,3715,10,0.07951626712328767,0.005710206925868988,event_t0125_q005,4200,94200
1646,stage1.block2,4672,2322,10,0.04970034246575342,0.005234374850988388,event_t0125_q005,4200,94200
1646,stage2.block1,14528,7528,10,0.05181718061674009,0.005317057715728879,event_t0125_q005,4200,94200
1646,stage2.block2,18560,7212,10,0.03885775862068966,0.005136317620053887,event_t0125_q005,4200,94200
1646,stage3.block1,57728,19919,10,0.03450491962305987,0.005242916662245989,event_t0125_q005,4200,94200
1646,stage3.block2,73984,20085,10,0.027147761678200693,0.0057155861053615805,event_t0125_q005,4200,94200
1646,head,650,530,10,0.08153846153846153,0.006119558028876782,event_t0125_q005,4200,94200
1647,stem,464,1294,10,0.2788793103448276,0.009532084222882986,event_t0125_q005,4200,94200
1647,stage1.block1,4672,3980,10,0.08518835616438356,0.005888404650613665,event_t0125_q005,4200,94200
1647,stage1.block2,4672,2639,10,0.056485445205479455,0.005366180744022131,event_t0125_q005,4200,94200
1647,stage2.block1,14528,9327,10,0.06420016519823789,0.005535015091300011,event_t0125_q005,4200,94200
1647,stage2.block2,18560,8408,10,0.045301724137931036,0.0052586796693503855,event_t0125_q005,4200,94200
1647,stage3.block1,57728,22438,10,0.0388684866962306,0.005314308917149901,event_t0125_q005,4200,94200
1647,stage3.block2,73984,23531,10,0.03180552551903114,0.005794791551306844,event_t0125_q005,4200,94200
1647,head,650,707,10,0.10876923076923077,0.006528500048443675,event_t0125_q005,4200,94200
1648,stem,464,1090,10,0.2349137931034483,0.008445360185578465,event_t0125_q005,4200,94200
1648,stage1.block1,4672,3432,10,0.07345890410958904,0.005676762200891972,event_t0125_q005,4200,94200
1648,stage1.block2,4672,2392,10,0.0511986301369863,0.005288811167702079,event_t0125_q005,4200,94200
1648,stage2.block1,14528,7191,10,0.04949752202643172,0.005254897940903902,event_t0125_q005,4200,94200
1648,stage2.block2,18560,6825,10,0.03677262931034483,0.005109808454290032,event_t0125_q005,4200,94200
1648,stage3.block1,57728,17019,10,0.02948136086474501,0.005168638285249471,event_t0125_q005,4200,94200
1648,stage3.block2,73984,17093,10,0.02310364403114187,0.005662101181223988,event_t0125_q005,4200,94200
1648,head,650,454,10,0.06984615384615385,0.0059402227401733395,event_t0125_q005,4200,94200
1649,stem,464,908,10,0.1956896551724138,0.008002326730638743,event_t0125_q005,4200,94200
1649,stage1.block1,4672,3084,10,0.06601027397260274,0.0055459138937294485,event_t0125_q005,4200,94200
1649,stage1.block2,4672,2093,10,0.044798801369863014,0.005224366905167699,event_t0125_q005,4200,94200
1649,stage2.block1,14528,6463,10,0.044486508810572686,0.005175711819902062,event_t0125_q005,4200,94200
1649,stage2.block2,18560,6229,10,0.033561422413793104,0.005050893872976303,event_t0125_q005,4200,94200
1649,stage3.block1,57728,16674,10,0.028883730598669624,0.0051638184580951926,event_t0125_q005,4200,94200
1649,stage3.block2,73984,17266,10,0.02333747837370242,0.005671495338901877,event_t0125_q005,4200,94200
1649,head,650,537,10,0.08261538461538462,0.0062030979432165624,event_t0125_q005,4200,94200
1650,stem,464,1204,10,0.25948275862068965,0.008926808554679155,event_t0125_q005,4200,94200
1650,stage1.block1,4672,3487,10,0.0746361301369863,0.005709284311160445,event_t0125_q005,4200,94200
1650,stage1.block2,4672,2492,10,0.05333904109589041,0.005358554143458605,event_t0125_q005,4200,94200
1650,stage2.block1,14528,8052,10,0.05542400881057269,0.005385598866268992,event_t0125_q005,4200,94200
